"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","Size"
"1",5.1,3.5,1.4,0.2,"setosa","Medium"
"2",4.9,3,1.4,0.2,"setosa","Small"
"3",4.7,3.2,1.3,0.2,"setosa","Small"
"4",4.6,3.1,1.5,0.2,"setosa","Small"
"5",5,3.6,1.4,0.2,"setosa","Medium"
"6",5.4,3.9,1.7,0.4,"setosa","Medium"
"7",4.6,3.4,1.4,0.3,"setosa","Small"
"8",5,3.4,1.5,0.2,"setosa","Medium"
"9",4.4,2.9,1.4,0.2,"setosa","Small"
"10",4.9,3.1,1.5,0.1,"setosa","Small"
"11",5.4,3.7,1.5,0.2,"setosa","Medium"
"12",4.8,3.4,1.6,0.2,"setosa","Small"
"13",4.8,3,1.4,0.1,"setosa","Small"
"14",4.3,3,1.1,0.1,"setosa","Small"
"15",5.8,4,1.2,0.2,"setosa","Medium"
"16",5.7,4.4,1.5,0.4,"setosa","Medium"
"17",5.4,3.9,1.3,0.4,"setosa","Medium"
"18",5.1,3.5,1.4,0.3,"setosa","Medium"
"19",5.7,3.8,1.7,0.3,"setosa","Medium"
"20",5.1,3.8,1.5,0.3,"setosa","Medium"
"21",5.4,3.4,1.7,0.2,"setosa","Medium"
"22",5.1,3.7,1.5,0.4,"setosa","Medium"
"23",4.6,3.6,1,0.2,"setosa","Small"
"24",5.1,3.3,1.7,0.5,"setosa","Medium"
"25",4.8,3.4,1.9,0.2,"setosa","Small"
"26",5,3,1.6,0.2,"setosa","Medium"
"27",5,3.4,1.6,0.4,"setosa","Medium"
"28",5.2,3.5,1.5,0.2,"setosa","Medium"
"29",5.2,3.4,1.4,0.2,"setosa","Medium"
"30",4.7,3.2,1.6,0.2,"setosa","Small"
"31",4.8,3.1,1.6,0.2,"setosa","Small"
"32",5.4,3.4,1.5,0.4,"setosa","Medium"
"33",5.2,4.1,1.5,0.1,"setosa","Medium"
"34",5.5,4.2,1.4,0.2,"setosa","Medium"
"35",4.9,3.1,1.5,0.2,"setosa","Small"
"36",5,3.2,1.2,0.2,"setosa","Medium"
"37",5.5,3.5,1.3,0.2,"setosa","Medium"
"38",4.9,3.6,1.4,0.1,"setosa","Small"
"39",4.4,3,1.3,0.2,"setosa","Small"
"40",5.1,3.4,1.5,0.2,"setosa","Medium"
"41",5,3.5,1.3,0.3,"setosa","Medium"
"42",4.5,2.3,1.3,0.3,"setosa","Small"
"43",4.4,3.2,1.3,0.2,"setosa","Small"
"44",5,3.5,1.6,0.6,"setosa","Medium"
"45",5.1,3.8,1.9,0.4,"setosa","Medium"
"46",4.8,3,1.4,0.3,"setosa","Small"
"47",5.1,3.8,1.6,0.2,"setosa","Medium"
"48",4.6,3.2,1.4,0.2,"setosa","Small"
"49",5.3,3.7,1.5,0.2,"setosa","Medium"
"50",5,3.3,1.4,0.2,"setosa","Medium"
"51",7,3.2,4.7,1.4,"versicolor","Large"
